theme,file,line,type,raw_value,token,confidence,usage
bdsm,"themes/bdsm/assets/bdsm-theme.css",5,hex,"#dc2626",danger,high,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",6,hex,"#ef4444",danger-light,high,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",7,hex,"#f87171",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",8,hex,"#fca5a5",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",9,hex,"#d1d5db",border,high,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",10,hex,"#ffffff",bg,high,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",11,hex,"#1a1a1a",text-dark,high,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",12,hex,"#6b7280",text-muted,high,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",49,rgb,"rgba(0,0,0,0.8)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",29,cssVar,"var(--bdsm-icon-md)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",30,cssVar,"var(--bdsm-icon-md)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",31,cssVar,"var(--bdsm-primary)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",36,cssVar,"var(--bdsm-icon-sm)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",36,cssVar,"var(--bdsm-icon-sm)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",37,cssVar,"var(--bdsm-icon-md)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",37,cssVar,"var(--bdsm-icon-md)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",38,cssVar,"var(--bdsm-icon-lg)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",38,cssVar,"var(--bdsm-icon-lg)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",39,cssVar,"var(--bdsm-icon-xl)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",39,cssVar,"var(--bdsm-icon-xl)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",42,cssVar,"var(--bdsm-primary)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",43,cssVar,"var(--bdsm-secondary)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",44,cssVar,"var(--bdsm-accent)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",45,cssVar,"var(--bdsm-bright)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",46,cssVar,"var(--bdsm-silver)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",48,cssVar,"var(--bdsm-contrast)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",53,cssVar,"var(--bdsm-opacity-subtle)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",54,cssVar,"var(--bdsm-opacity-medium)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",55,cssVar,"var(--bdsm-opacity-bold)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",111,cssVar,"var(--bdsm-opacity-subtle)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",112,cssVar,"var(--bdsm-opacity-medium)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",138,cssVar,"var(--bdsm-secondary)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",139,cssVar,"var(--bdsm-opacity-medium)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",144,cssVar,"var(--bdsm-secondary)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",145,cssVar,"var(--bdsm-opacity-bold)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",156,cssVar,"var(--bdsm-opacity-subtle)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",161,cssVar,"var(--bdsm-opacity-medium)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",191,cssVar,"var(--bdsm-primary)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",191,cssVar,"var(--bdsm-secondary)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",191,cssVar,"var(--bdsm-primary)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",202,cssVar,"var(--bdsm-icon-sm)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",203,cssVar,"var(--bdsm-icon-sm)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",138,gradient,"linear-gradient(to right, transparent, var(--bdsm-secondary)",accent,low,unknown
bdsm,"themes/bdsm/assets/bdsm-theme.css",191,gradient,"linear-gradient(90deg, var(--bdsm-primary)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",5,hex,"#b8860b",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",6,hex,"#9a7209",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",7,hex,"#f8f6f0",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",8,hex,"#722f37",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",9,hex,"#800020",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",10,hex,"#fffff0",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",11,hex,"#ffbf00",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",12,hex,"#8fbc8f",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",41,rgb,"rgba(184, 134, 11, 0.05)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",42,rgb,"rgba(184, 134, 11, 0.08)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",43,rgb,"rgba(248, 246, 240, 0.03)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",44,rgb,"rgba(184, 134, 11, 0.06)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",100,rgb,"rgba(184, 134, 11, 0.4)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",101,rgb,"rgba(255, 255, 255, 0.2)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",128,rgb,"rgba(114, 47, 55, 0.4)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",206,rgb,"rgba(184, 134, 11, 0.3)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",207,rgb,"rgba(255, 191, 0, 0.1)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",218,rgb,"rgba(255, 191, 0, 0.2)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",219,rgb,"rgba(184, 134, 11, 0.1)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",220,rgb,"rgba(255, 255, 240, 0.05)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",223,rgb,"rgba(255, 191, 0, 0.08)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",236,rgb,"rgba(0, 0, 0, 0.4)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",237,rgb,"rgba(255, 255, 255, 0.2)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",247,rgb,"rgba(184, 134, 11, 0.3)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",248,rgb,"rgba(184, 134, 11, 0.1)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",279,rgb,"rgba(0,0,0,0.3)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",306,rgb,"rgba(184, 134, 11, 0.05)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",307,rgb,"rgba(184, 134, 11, 0.08)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",308,rgb,"rgba(248, 246, 240, 0.03)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",309,rgb,"rgba(184, 134, 11, 0.06)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",318,rgb,"rgba(0, 0, 0, 0.4)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",319,rgb,"rgba(184, 134, 11, 0.15)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",328,rgb,"rgba(184, 134, 11, 0.3)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",329,rgb,"rgba(248, 246, 240, 0.1)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",336,rgb,"rgba(184, 134, 11, 0.4)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",337,rgb,"rgba(248, 246, 240, 0.15)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",17,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",28,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",28,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",30,cssVar,"var(--victorian-pearl)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",30,cssVar,"var(--victorian-pearl)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",69,cssVar,"var(--theme-bg-primary)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",70,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",86,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",87,cssVar,"var(--victorian-deep-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",88,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",94,cssVar,"var(--victorian-pearl)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",94,cssVar,"var(--victorian-ivory)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",95,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",99,cssVar,"var(--victorian-deep-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",110,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",117,cssVar,"var(--victorian-pearl)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",122,cssVar,"var(--victorian-velvet)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",122,cssVar,"var(--victorian-burgundy)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",127,cssVar,"var(--victorian-pearl)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",140,cssVar,"var(--victorian-burgundy)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",144,cssVar,"var(--victorian-burgundy)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",144,cssVar,"var(--victorian-deep-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",175,cssVar,"var(--victorian-pearl)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",178,cssVar,"var(--theme-bg-primary)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",188,cssVar,"var(--victorian-pearl)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",191,cssVar,"var(--theme-bg-primary)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",198,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",199,cssVar,"var(--victorian-amber)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",200,cssVar,"var(--victorian-deep-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",201,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",202,cssVar,"var(--victorian-deep-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",230,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",233,cssVar,"var(--victorian-pearl)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",233,cssVar,"var(--victorian-ivory)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",235,cssVar,"var(--victorian-deep-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",244,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",254,cssVar,"var(--theme-bg-tertiary)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",255,cssVar,"var(--theme-bg-tertiary)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",255,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",256,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",267,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",267,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",268,cssVar,"var(--victorian-pearl)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",268,cssVar,"var(--victorian-pearl)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",275,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",275,cssVar,"var(--victorian-deep-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",276,cssVar,"var(--victorian-pearl)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",278,cssVar,"var(--font-serif)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",286,cssVar,"var(--victorian-pearl)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",294,cssVar,"var(--victorian-pearl)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",300,cssVar,"var(--theme-bg-primary)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",300,cssVar,"var(--theme-bg-secondary)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",305,cssVar,"var(--theme-bg-primary)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",305,cssVar,"var(--theme-bg-secondary)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",325,cssVar,"var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",327,cssVar,"var(--victorian-deep-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",335,cssVar,"var(--victorian-deep-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",94,gradient,"linear-gradient(135deg, var(--victorian-pearl)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",122,gradient,"linear-gradient(135deg, var(--victorian-velvet)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",144,gradient,"linear-gradient(135deg, var(--victorian-burgundy)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",233,gradient,"linear-gradient(135deg, var(--victorian-pearl)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",275,gradient,"linear-gradient(135deg, var(--victorian-antique-gold)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",300,gradient,"linear-gradient(135deg, var(--theme-bg-primary)",accent,low,unknown
dark,"themes/dark/assets/victorian-boudoir.css",305,gradient,"linear-gradient(135deg, var(--theme-bg-primary)",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",9,hex,"#0c0c0f",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",10,hex,"#121218",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",11,hex,"#171722",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",12,hex,"#1c1c28",card-bg,medium,card
dark,"themes/dark/velvet-nocturne.css",15,hex,"#ffffff",bg,high,unknown
dark,"themes/dark/velvet-nocturne.css",16,hex,"#e9e9f1",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",17,hex,"#b9b9c8",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",18,hex,"#8b8ba3",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",21,hex,"#00e0d1",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",22,hex,"#8a2be2",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",23,hex,"#ff2a6d",btn-bg,medium,button
dark,"themes/dark/velvet-nocturne.css",24,hex,"#31d0aa",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",25,hex,"#ffb84d",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",26,hex,"#ff5577",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",29,hex,"#252536",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",30,hex,"#1a1a26",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",62,hex,"#141420",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",158,hex,"#404040",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",159,hex,"#ffffff",bg,high,unknown
dark,"themes/dark/velvet-nocturne.css",160,hex,"#e0e0e0",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",199,hex,"#0f0f15",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",305,hex,"#2a2a39",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",438,hex,"#0e0e15",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",569,hex,"#1a1a2e",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",605,hex,"#1b1b27",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",605,hex,"#13131b",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",646,hex,"#ff2a6d",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",646,hex,"#d81b5a",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",647,hex,"#ff2a6d",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",656,hex,"#ff3a7d",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",656,hex,"#e82b6a",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",688,hex,"#141420",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",710,hex,"#1a1a2e",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",784,hex,"#1c1c28",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",784,hex,"#141420",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",899,hex,"#1e1e2e",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",899,hex,"#252535",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",914,hex,"#00c4b6",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",915,hex,"#0a0a0d",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",923,hex,"#0a0a0d",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",930,hex,"#d91a5c",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",945,hex,"#9932cc",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",1198,hex,"#1c1c28",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",1198,hex,"#141420",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",1218,hex,"#1a1a26",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",1272,hex,"#181824",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",1272,hex,"#1a1a26",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",1480,hex,"#1a1a26",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",31,rgb,"rgba(0, 224, 209, .25)",accent,low,unknown
dark,"themes/dark/velvet-nocturne.css",256,rgb,"rgba(255, 255, 255, 0.06)",accent,low,unknown
